Date,Open,High,Low,Close,Adj Close,Volume
5/20/1996,3.475,3.48,3.4,3.405,2.762558,933000
5/21/1996,3.4,3.4,3.325,3.335,2.705766,1644000
5/22/1996,3.335,3.42,3.37,3.375,2.738219,645000
5/23/1996,3.4,3.4,3.335,3.35,2.717936,361000
5/24/1996,3.35,3.4,3.35,3.385,2.746332,473000
5/27/1996,3.385,3.385,3.325,3.34,2.709822,1362000
5/28/1996,3.34,3.4,3.3,3.39,2.750388,1390000
5/29/1996,3.39,3.45,3.395,3.445,2.795012,1314000
5/30/1996,3.5,3.5,3.375,3.41,2.766615,804000
5/31/1996,3.41,3.43,3.37,3.415,2.770671,486000
6/3/1996,3.415,3.5,3.415,3.45,2.799068,766000
6/4/1996,3.45,3.475,3.375,3.4,2.758502,1698000
6/5/1996,3.4,3.45,3.39,3.405,2.762558,437000
6/6/1996,3.445,3.46,3.405,3.435,2.786898,622000
6/7/1996,3.42,3.445,3.405,3.435,2.786898,405000
6/10/1996,3.465,3.465,3.425,3.44,2.790955,860000
6/11/1996,3.47,3.47,3.4,3.43,2.782841,1054000
6/12/1996,3.45,3.545,3.44,3.51,2.847747,1657000
6/13/1996,3.51,3.88,3.5,3.875,3.143881,7320000
6/14/1996,3.925,4.17,3.925,4.045,3.281805,9036000
6/17/1996,4.05,4.13,3.85,3.87,3.139824,6812000
6/18/1996,3.85,3.9,3.75,3.83,3.107371,4708000
6/19/1996,3.935,3.95,3.775,3.8,3.083031,3422000
6/20/1996,3.75,3.8,3.7,3.765,3.054635,2981000
6/21/1996,3.7,3.765,3.655,3.68,2.985673,2364000
6/24/1996,3.71,3.71,3.6,3.66,2.969446,1931000
6/25/1996,3.675,3.68,3.61,3.64,2.95322,4000000
6/26/1996,3.85,4.025,3.85,3.915,3.176334,14061000
6/27/1996,3.91,3.945,3.805,3.93,3.188504,7982000
6/28/1996,3.96,4.05,3.91,3.99,3.237183,14959000
7/1/1996,4.01,4.025,3.875,3.905,3.16822,11334000
7/2/1996,3.925,3.98,3.875,3.895,3.160108,6039000
7/3/1996,3.875,3.9,3.83,3.855,3.127654,7855000
7/4/1996,3.83,3.91,3.775,3.86,3.13171,9477000
7/5/1996,3.855,3.91,3.85,3.855,3.127654,3069000
7/8/1996,3.93,3.93,3.855,3.875,3.143881,1927000
7/9/1996,3.875,3.88,3.82,3.835,3.111428,3414000
7/10/1996,3.81,3.85,3.775,3.83,3.107371,3917000
7/11/1996,3.825,3.865,3.825,3.83,3.107371,1296000
7/12/1996,3.815,3.84,3.78,3.82,3.099258,1200000
7/15/1996,3.81,3.845,3.775,3.83,3.107371,2558000
7/16/1996,3.825,3.875,3.77,3.805,3.087088,3377000
7/17/1996,3.795,3.8,3.62,3.77,3.058691,5582000
7/18/1996,3.75,3.795,3.705,3.74,3.034352,2085000
7/19/1996,3.75,3.775,3.7,3.76,3.050578,2348000
7/22/1996,3.825,3.825,3.71,3.75,3.042465,863000
7/23/1996,3.755,3.755,3.655,3.68,2.985673,3695000
7/24/1996,3.66,3.66,3.475,3.62,2.936993,6060000
7/25/1996,3.6,3.65,3.58,3.61,2.928879,2542000
7/26/1996,3.58,3.67,3.565,3.63,2.945106,6639000
7/29/1996,3.65,3.845,3.615,3.62,2.936993,4140000
7/30/1996,3.6,3.6,3.29,3.535,2.868031,12399000
7/31/1996,3.46,3.55,3.355,3.52,2.85586,2970000
8/1/1996,3.55,3.57,3.5,3.55,2.880201,1097000
8/2/1996,3.625,3.625,3.51,3.585,2.908597,822000
8/5/1996,3.55,3.7,3.55,3.615,2.932937,1454000
8/6/1996,3.605,3.8,3.605,3.775,3.062749,2350000
8/7/1996,3.7,3.745,3.65,3.685,2.989729,681000
8/8/1996,3.7,3.715,3.65,3.665,2.973502,371000
8/9/1996,3.635,3.675,3.62,3.635,2.949163,328000
8/12/1996,3.655,3.655,3.6,3.615,2.932937,830000
8/13/1996,3.6,3.625,3.575,3.605,2.924823,839000
8/14/1996,3.61,3.615,3.55,3.56,2.888313,655000
8/15/1996,3.56,3.56,3.56,3.56,2.888313,0
8/16/1996,3.55,3.575,3.53,3.535,2.868031,302000
8/19/1996,3.65,3.65,3.44,3.5,2.839634,610000
8/20/1996,3.47,3.53,3.325,3.35,2.717936,1982000
8/21/1996,3.45,3.6,3.45,3.51,2.847747,785000
8/22/1996,3.55,3.6,3.48,3.495,2.835577,488000
8/23/1996,3.48,3.515,3.48,3.5,2.839634,862000
8/26/1996,3.51,3.55,3.495,3.54,2.872087,1025000
8/27/1996,3.52,3.625,3.515,3.6,2.920768,905000
8/28/1996,3.58,3.64,3.58,3.63,2.945106,799000
8/29/1996,3.6,3.695,3.595,3.655,2.965389,972000
8/30/1996,3.605,3.695,3.605,3.685,2.989729,557000
9/2/1996,3.7,3.715,3.655,3.705,3.005955,453000
9/3/1996,3.795,3.795,3.59,3.64,2.95322,1064000
9/4/1996,3.6,3.66,3.6,3.655,2.965389,746000
9/5/1996,3.675,3.74,3.665,3.7,3.001899,1373000
9/6/1996,3.69,3.725,3.665,3.705,3.005955,570000
9/9/1996,3.72,3.72,3.68,3.7,3.001899,1236000
9/10/1996,3.685,3.725,3.67,3.72,3.018126,1502000
9/11/1996,3.74,3.74,3.69,3.725,3.022182,1163000
9/12/1996,3.7,3.725,3.675,3.715,3.014069,671000
9/13/1996,3.695,3.74,3.695,3.725,3.022182,308000
9/16/1996,3.665,3.74,3.665,3.715,3.014069,641000
9/17/1996,3.72,3.8,3.7,3.765,3.054635,647000
9/18/1996,3.725,3.745,3.7,3.72,3.018126,413000
9/19/1996,3.725,3.75,3.675,3.685,2.989729,264000
9/20/1996,3.675,3.7,3.635,3.655,2.965389,282000
9/23/1996,3.64,3.66,3.575,3.64,2.95322,594000
9/24/1996,3.61,3.66,3.605,3.625,2.941049,605000
9/25/1996,3.56,3.69,3.56,3.63,2.945106,230000
9/26/1996,3.61,3.625,3.595,3.615,2.932937,322000
9/27/1996,3.605,3.65,3.54,3.605,2.924823,905000
9/30/1996,3.51,3.605,3.51,3.58,2.90454,414000
10/1/1996,3.58,3.69,3.52,3.63,2.945106,1144000
10/2/1996,3.63,3.63,3.63,3.63,2.945106,0
10/3/1996,3.685,3.685,3.55,3.555,2.884257,660000
10/4/1996,3.51,3.625,3.51,3.58,2.90454,807000
